2/13/2024, 7:57:12 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6575063748, is-have-premium: false, message-deleted: true, user-name: Денис, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6568746845, is-have-premium: false, message-deleted: true, user-name: Плаобаод 28.1, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6740000646, is-have-premium: false, message-deleted: true, user-name: Дагашаща28.2, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6205212492, is-have-premium: false, message-deleted: true, user-name: Валерия, user-nick: leraletal
2/13/2024, 7:57:12 PM: user-chat-id: 6056532063, is-have-premium: false, message-deleted: true, user-name: Саша, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6527488473, is-have-premium: false, message-deleted: true, user-name: Brenda, user-nick: hipmi_clubbily
2/13/2024, 7:57:12 PM: user-chat-id: 6886784200, is-have-premium: false, message-deleted: true, user-name: 16, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6962396418, is-have-premium: false, message-deleted: true, user-name: Валерия, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 5779541647, is-have-premium: false, message-deleted: true, user-name: Nora, user-nick: biNora34
2/13/2024, 7:57:12 PM: user-chat-id: 6281143100, is-have-premium: false, message-deleted: true, user-name: Руслан, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6257793011, is-have-premium: false, message-deleted: true, user-name: Даша, user-nick: Dkijdiw
2/13/2024, 7:57:12 PM: user-chat-id: 6534492158, is-have-premium: false, message-deleted: true, user-name: Matthew, user-nick: architecturalcheques
2/13/2024, 7:57:12 PM: user-chat-id: 5984857873, is-have-premium: false, message-deleted: true, user-name: Evgenia_job, user-nick: Evgenia_job
2/13/2024, 7:57:12 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6542462395, is-have-premium: false, message-deleted: true, user-name: REKET, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6504926474, is-have-premium: false, message-deleted: true, user-name: С5, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6615829472, is-have-premium: false, message-deleted: true, user-name: Аня, user-nick: koasvasbot
2/13/2024, 7:57:12 PM: user-chat-id: 6123895522, is-have-premium: false, message-deleted: true, user-name: Ахмед, user-nick: Ahmed_11121
2/13/2024, 7:57:12 PM: user-chat-id: 6661350505, is-have-premium: false, message-deleted: true, user-name: Вика, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6777710393, is-have-premium: false, message-deleted: true, user-name: Николай, user-nick: Peter7Anderson5
2/13/2024, 7:57:12 PM: user-chat-id: 6748343843, is-have-premium: false, message-deleted: true, user-name: Лиза, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6568746845, is-have-premium: false, message-deleted: true, user-name: Плаобаод 28.1, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6625551175, is-have-premium: false, message-deleted: true, user-name: KOSMOS, user-nick: undefined
2/13/2024, 7:57:12 PM: user-chat-id: 6903572588, is-have-premium: false, message-deleted: true, user-name: Партнер, user-nick: alexmngx
2/13/2024, 7:57:12 PM: user-chat-id: 6577987142, is-have-premium: false, message-deleted: true, user-name: 8, user-nick: undefined
